,Animal ID,Name,DateTime,Date of Birth,Outcome Type,Outcome Subtype,Animal Type,Age upon Outcome,Breed,Color,month,year,sex
172,A771075,,06/23/2018 8:16:00 PM,04/15/2018,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,Jun,2018,Spayed Female
173,A679944,,06/01/2014 5:40:00 PM,05/28/2012,Transfer,Partner,Dog,2 years,Cairn Terrier Mix,White/Buff,Jun,2014,Spayed Female
174,A698183,*Eleanor,03/12/2015 4:13:00 PM,03/06/2013,Euthanasia,Suffering,Dog,2 years,Pit Bull Mix,Brown Brindle,Mar,2015,Intact Female
175,A729125,Auburn,06/19/2016 4:36:00 PM,07/13/2015,Adoption,,Dog,11 months,Golden Retriever/Bearded Collie,Red/White,Jun,2016,Spayed Female
176,A726827,Sweet Pea,05/29/2017 5:07:00 PM,04/15/2016,Adoption,,Cat,1 year,Domestic Shorthair Mix,Torbie,May,2017,Spayed Female
177,A662741,*Todd,10/05/2013 12:42:00 PM,08/11/2013,Transfer,Partner,Cat,1 month,Domestic Shorthair Mix,Black,Oct,2013,Intact Male
178,A796941,*Carrot,08/03/2019 2:40:00 PM,04/27/2019,Adoption,Foster,Cat,3 months,Domestic Shorthair,Cream Tabby,Aug,2019,Neutered Male
179,A718387,*Jack Frost,01/16/2016 4:12:00 PM,12/29/2006,Adoption,,Dog,9 years,American Eskimo Mix,Cream,Jan,2016,Neutered Male
180,A837504,,06/27/2021 2:11:00 PM,05/14/2021,Transfer,Partner,Dog,1 month,Chihuahua Shorthair Mix,Black/Tricolor,Jun,2021,Intact Female
181,A737776,,11/08/2016 6:16:00 PM,01/04/2016,Adoption,,Dog,10 months,Yorkshire Terrier Mix,Black/Brown,Nov,2016,Spayed Female
182,A767108,Dotty,05/06/2018 7:36:00 PM,02/23/2015,Adoption,,Dog,3 years,Boston Terrier Mix,White/Blue,May,2018,Spayed Female
183,A792484,Taros,05/31/2020 1:00:00 PM,04/11/2018,Adoption,,Dog,2 years,German Shepherd Mix,Cream,May,2020,Neutered Male
184,A731104,*Zakarin,09/20/2016 11:28:00 AM,04/20/2016,Adoption,Foster,Cat,5 months,Domestic Shorthair Mix,Orange Tabby,Sep,2016,Neutered Male
185,A842306,*Lemondrop,09/24/2021 6:37:00 PM,09/13/2020,Adoption,,Dog,1 year,Vizsla Mix,Red/White,Sep,2021,Spayed Female
186,A784970,Ziggy,03/16/2019 11:31:00 AM,05/24/2018,Return to Owner,,Dog,9 months,Pit Bull Mix,White/Black,Mar,2019,Neutered Male
187,A771103,,06/23/2018 5:45:00 PM,03/16/2018,Adoption,Foster,Cat,3 months,Domestic Shorthair Mix,Blue,Jun,2018,Spayed Female
188,A777152,,07/24/2018 12:00:00 AM,07/20/2018,Transfer,Partner,Cat,4 days,Domestic Shorthair Mix,Brown Tabby,Jul,2018,
189,A873968,Homegirl,02/04/2023 11:11:00 AM,08/04/2021,Return to Owner,,Dog,1 year,Bluetick Hound Mix,Blue Tick,Feb,2023,Intact Female
190,A687949,Apollo,10/10/2014 5:53:00 PM,09/12/2012,Adoption,,Dog,2 years,Australian Kelpie Mix,Black/Tan,Oct,2014,Neutered Male
191,A833864,,05/12/2021 4:48:00 PM,05/04/2021,Euthanasia,Suffering,Cat,1 weeks,Domestic Shorthair,Orange Tabby/White,May,2021,Intact Male
192,A706245,,06/26/2015 5:12:00 PM,06/11/2015,Transfer,Partner,Cat,2 weeks,Domestic Shorthair Mix,Tortie,Jun,2015,Intact Female
193,A713109,,10/04/2015 9:22:00 AM,10/02/2013,Euthanasia,Rabies Risk,Other,2 years,Bat Mix,Brown,Oct,2015,
194,A718705,*Thor,01/12/2016 7:00:00 PM,01/05/2014,Adoption,,Dog,2 years,Siberian Husky Mix,Black/White,Jan,2016,Neutered Male
195,A685791,Chispa,08/13/2014 6:41:00 PM,02/12/2013,Adoption,,Dog,1 year,Catahoula Mix,White/Tan,Aug,2014,Neutered Male
196,A803510,Rocky,09/03/2019 11:56:00 AM,03/02/2018,Transfer,Partner,Dog,1 year,Yorkshire Terrier Mix,Black/Tan,Sep,2019,Intact Male
197,A732051,*Cinnamon,08/08/2016 3:12:00 PM,06/24/2016,Transfer,Partner,Cat,1 month,Domestic Shorthair Mix,Torbie,Aug,2016,Intact Female
198,A743602,*Dodger,02/14/2017 2:46:00 PM,05/01/2016,Transfer,Partner,Other,9 months,Guinea Pig Mix,Tricolor,Feb,2017,Intact Male
199,A744629,Hazel,03/15/2017 11:49:00 AM,03/04/2012,Adoption,,Cat,5 years,Domestic Shorthair Mix,Blue/White,Mar,2017,Spayed Female
200,A776224,Taylor,07/12/2018 7:02:00 PM,09/26/2011,Transfer,Partner,Dog,6 years,Shiba Inu Mix,Tan,Jul,2018,Spayed Female
201,A788493,,02/07/2019 1:12:00 PM,04/03/2018,Transfer,Partner,Dog,10 months,Standard Poodle/Labrador Retriever,Cream,Feb,2019,Neutered Male
202,A754938,Ivory,07/29/2017 3:24:00 PM,06/06/2016,Return to Owner,,Dog,1 year,Australian Cattle Dog/German Shepherd,Black/Brown,Jul,2017,Intact Female
203,A839879,*Winnie,09/09/2021 11:55:00 AM,08/05/2020,Transfer,Out State,Dog,1 year,Labrador Retriever/Beagle,Black/White,Sep,2021,Spayed Female
204,A719479,Snake Finder,08/13/2017 1:55:00 PM,01/21/2015,Return to Owner,,Dog,2 years,Miniature Pinscher,Black/Tan,Aug,2017,Neutered Male
205,A720562,*Joni,02/21/2016 12:39:00 PM,02/11/2012,Adoption,,Cat,4 years,Domestic Shorthair Mix,Tortie,Feb,2016,Spayed Female
206,A718919,,01/09/2016 2:55:00 PM,01/09/2015,Transfer,Partner,Other,1 year,Rabbit Sh Mix,Black/White,Jan,2016,
207,A766116,Max,02/13/2018 11:14:00 AM,02/02/2015,Return to Owner,,Dog,3 years,Rottweiler/Staffordshire,Blue/Tan,Feb,2018,Neutered Male
208,A856357,*Manon,06/09/2022 9:08:00 AM,03/27/2022,Adoption,Foster,Cat,2 months,Domestic Shorthair,Black,Jun,2022,Spayed Female
209,A667908,,11/25/2013 11:56:00 AM,02/24/2013,Transfer,Partner,Dog,9 months,Pit Bull Mix,White,Nov,2013,Intact Female
210,A721171,Louie,02/25/2016 3:51:00 PM,12/07/2015,Adoption,,Dog,2 months,Dachshund Mix,Red/White,Feb,2016,Neutered Male
211,A819694,Zoey,07/12/2020 1:42:00 PM,03/12/2020,Transfer,Partner,Dog,4 months,Yorkshire Terrier Mix,Black/White,Jul,2020,Intact Female
212,A605223,*Coconut,07/05/2014 6:49:00 PM,09/05/2010,Adoption,,Dog,3 years,Pit Bull Mix,Black/White,Jul,2014,Spayed Female
213,A761895,,11/18/2017 2:25:00 PM,09/03/2017,Adoption,,Cat,2 months,Domestic Shorthair Mix,White/Brown Tabby,Nov,2017,Neutered Male
214,A845878,*Bruce,01/19/2022 3:25:00 PM,10/05/2021,Adoption,Foster,Cat,3 months,Domestic Shorthair,Blue,Jan,2022,Neutered Male
215,A729037,Blanco,07/01/2016 6:44:00 PM,04/12/2016,Adoption,,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,Jul,2016,Intact Male
216,A832174,Monster,04/16/2021 4:11:00 PM,04/09/2013,Adoption,,Dog,8 years,Pit Bull,Blue,Apr,2021,Spayed Female
217,A797068,Chumley,06/15/2019 5:25:00 PM,06/08/2017,Adoption,,Cat,2 years,Domestic Shorthair Mix,Brown Tabby,Jun,2019,Neutered Male
218,A731908,*Shorty,09/04/2016 5:33:00 PM,07/29/2015,Adoption,,Dog,1 year,Staffordshire/Basset Hound,Brown Brindle/White,Sep,2016,Neutered Male
219,A705501,Chato,06/27/2015 1:19:00 PM,03/12/2015,Return to Owner,,Dog,3 months,Boxer,Black Brindle/White,Jun,2015,Intact Male
220,A684628,*Cody,08/01/2014 6:05:00 PM,07/26/2013,Adoption,,Dog,1 year,Akita Mix,Sable,Aug,2014,Neutered Male
221,A788671,Lulu,07/06/2019 6:12:00 PM,10/06/2017,Adoption,,Dog,1 year,German Shepherd Mix,Red,Jul,2019,Spayed Female
222,A740771,*Edmund,12/24/2016 3:52:00 PM,12/22/2015,Return to Owner,,Dog,1 year,Labrador Retriever Mix,Yellow,Dec,2016,Neutered Male
223,A773488,*O'Malley,07/25/2018 6:31:00 AM,04/29/2018,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Orange Tabby/White,Jul,2018,Neutered Male
224,A692406,*Remington,12/01/2014 4:02:00 PM,11/19/2013,Adoption,,Dog,1 year,Australian Shepherd/Australian Cattle Dog,Black/Yellow Brindle,Dec,2014,Neutered Male
225,A863893,Logan,09/26/2022 12:49:00 PM,06/17/2022,Adoption,,Dog,3 months,Pointer Mix,White/Black,Sep,2022,Neutered Male
226,A697608,Effie,02/27/2015 6:10:00 PM,11/26/2014,Adoption,,Cat,3 months,Domestic Shorthair Mix,Blue Tabby/White,Feb,2015,Intact Female
227,A753292,Chaco,07/05/2017 3:19:00 PM,07/04/2001,Adoption,,Cat,16 years,Persian,White/Brown Tabby,Jul,2017,Neutered Male
228,A732325,Tobi,08/19/2016 6:01:00 PM,02/06/2015,Return to Owner,,Dog,1 year,Labrador Retriever/Pit Bull,Chocolate/Black,Aug,2016,Spayed Female
229,A836935,Aries,06/19/2021 4:08:00 PM,06/15/2020,Return to Owner,,Dog,1 year,Siberian Husky Mix,Black/Tan,Jun,2021,Intact Male
230,A720727,Rooster 11,03/08/2016 1:47:00 PM,02/14/2015,Adoption,,Bird,1 year,Chicken Mix,Black/Red,Mar,2016,Intact Male
231,A753146,*Susan,08/05/2017 5:40:00 PM,06/02/2017,Adoption,,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,Aug,2017,Spayed Female
232,A716395,*Jenny,11/28/2015 5:27:00 PM,11/19/2013,Transfer,Partner,Dog,2 years,Pit Bull Mix,Fawn/White,Nov,2015,Intact Female
233,A664661,Lily,10/13/2013 5:04:00 PM,08/07/2013,Adoption,,Cat,2 months,Domestic Shorthair Mix,Black/White,Oct,2013,Spayed Female
234,A705337,Haylie,08/15/2017 12:43:00 PM,06/16/2013,Adoption,Foster,Dog,4 years,Pit Bull Mix,Tan/White,Aug,2017,Spayed Female
235,A791446,Leopold,03/31/2019 1:58:00 PM,03/28/2016,Return to Owner,,Dog,3 years,English Bulldog,White/Brown,Mar,2019,Neutered Male
236,A738706,,11/20/2016 9:00:00 AM,11/19/2014,Transfer,SCRP,Cat,2 years,Domestic Shorthair Mix,Orange Tabby,Nov,2016,Intact Female
237,A728903,Izzy,05/21/2017 3:18:00 PM,06/10/2015,Adoption,,Dog,1 year,American Bulldog Mix,Black/White,May,2017,Spayed Female
238,A832041,Tiny,04/17/2021 12:33:00 PM,04/06/2019,Adoption,Offsite,Dog,2 years,Labrador Retriever Mix,Black,Apr,2021,Spayed Female
239,A790939,,03/19/2019 1:34:00 PM,03/18/2019,Transfer,Partner,Cat,1 day,Domestic Shorthair Mix,Black,Mar,2019,
240,A790255,Pantera,03/12/2019 5:37:00 PM,03/07/2017,Rto-Adopt,,Dog,2 years,Miniature Schnauzer Mix,Black,Mar,2019,Spayed Female
241,A798379,,07/13/2019 12:36:00 PM,06/25/2018,Transfer,Partner,Dog,1 year,Chihuahua Shorthair/Rat Terrier,Tricolor,Jul,2019,Intact Male
242,A690186,Keylow,10/08/2015 5:06:00 PM,02/15/2014,Adoption,,Dog,1 year,Miniature Poodle Mix,White,Oct,2015,Neutered Male
243,A754460,,07/25/2017 12:06:00 PM,04/21/2017,Transfer,Snr,Cat,3 months,Domestic Shorthair Mix,Black,Jul,2017,Intact Male
244,A760255,Deuce,10/23/2017 3:38:00 PM,10/15/2016,Adoption,,Dog,1 year,Black Mouth Cur Mix,Brown/Black,Oct,2017,Neutered Male
245,A695222,Bochy,01/15/2015 6:19:00 PM,01/11/2013,Adoption,,Dog,2 years,Flat Coat Retriever Mix,Black/White,Jan,2015,Neutered Male
246,A842803,Charlie,09/23/2021 6:10:00 PM,07/21/2021,Adoption,,Dog,2 months,Pit Bull,Tan,Sep,2021,Neutered Male
247,A752298,Maddie,08/15/2017 2:13:00 PM,06/20/2009,Adoption,,Cat,8 years,Domestic Medium Hair Mix,Torbie,Aug,2017,Spayed Female
248,A664356,Azul,10/03/2013 4:37:00 PM,03/03/2013,Transfer,Partner,Dog,7 months,Pit Bull Mix,Blue/White,Oct,2013,Intact Male
249,A817406,Janice,05/27/2020 12:06:00 PM,05/15/2016,Return to Owner,,Dog,4 years,Labrador Retriever/Pit Bull,Tan/White,May,2020,Spayed Female
250,A736221,,10/07/2016 9:42:00 AM,10/07/2014,Euthanasia,Suffering,Cat,2 years,Domestic Shorthair Mix,Black,Oct,2016,
251,A702402,*Tic,07/08/2015 8:55:00 AM,04/06/2015,Adoption,Foster,Cat,3 months,Domestic Shorthair Mix,Orange Tabby/White,Jul,2015,Neutered Male
252,A789594,Morena,02/26/2019 7:33:00 PM,02/24/2015,Adoption,,Dog,4 years,Chihuahua Longhair Mix,Brown/Black,Feb,2019,Spayed Female
253,A711356,J.D.,09/11/2015 1:50:00 PM,09/05/2009,Transfer,Partner,Dog,6 years,Labrador Retriever Mix,Chocolate,Sep,2015,Neutered Male
254,A729769,*Gracie,07/03/2016 1:52:00 PM,06/23/2015,Adoption,,Cat,1 year,Domestic Medium Hair Mix,Calico,Jul,2016,Spayed Female
255,A855780,*Sugar Ray,05/10/2022 6:41:00 PM,04/22/2019,Adoption,,Cat,3 years,Domestic Shorthair,White/Brown Tabby,May,2022,Neutered Male
256,A671609,Wilson,07/02/2015 11:04:00 AM,01/28/2013,Transfer,Partner,Dog,2 years,Labrador Retriever,Tan/White,Jul,2015,Neutered Male
257,A671789,Sam,02/03/2014 4:48:00 PM,01/30/2012,Adoption,,Dog,2 years,Miniature Poodle/Miniature Schnauzer,Buff,Feb,2014,Intact Male
258,A730774,*Noodles,07/16/2016 7:03:00 PM,01/10/2016,Adoption,,Dog,6 months,Jack Russell Terrier Mix,Black,Jul,2016,Neutered Male
259,A748210,,05/04/2017 12:47:00 PM,04/30/2016,Rto-Adopt,,Dog,1 year,Chihuahua Shorthair Mix,Tricolor,May,2017,Spayed Female
260,A825041,,10/27/2020 9:48:00 AM,10/26/2019,Disposal,,Other,1 year,Bat,Brown,Oct,2020,
261,A566568,Duck,02/23/2019 11:33:00 AM,02/12/2009,Adoption,,Dog,10 years,Harrier Mix,Brown/Black,Feb,2019,Neutered Male
262,A767611,Queen,03/17/2018 1:16:00 PM,09/04/2016,Return to Owner,,Dog,1 year,Pit Bull Mix,Blue/Brown Brindle,Mar,2018,Spayed Female
263,A711270,,10/22/2015 9:00:00 AM,09/04/2014,Transfer,SCRP,Cat,1 year,Domestic Medium Hair Mix,Brown Tabby/White,Oct,2015,Spayed Female
264,A669647,Theodore,01/03/2014 2:36:00 PM,12/24/2012,Return to Owner,,Dog,1 year,Australian Cattle Dog/Labrador Retriever,Tan/White,Jan,2014,Intact Male
265,A827274,*Fizzle,12/30/2020 3:24:00 PM,09/02/2020,Transfer,Partner,Cat,3 months,Domestic Shorthair Mix,Blue Tabby,Dec,2020,Spayed Female
266,A799811,Angel,10/22/2019 8:21:00 AM,07/12/2012,Adoption,Foster,Dog,7 years,Chihuahua Shorthair,Cream,Oct,2019,Spayed Female
267,A725432,Clark,09/06/2017 5:08:00 PM,04/29/2011,Return to Owner,,Dog,6 years,Staffordshire/Boxer,Black/White,Sep,2017,Neutered Male
268,A712266,,09/20/2015 7:57:00 AM,08/20/2015,Died,In Kennel,Other,4 weeks,Bat,Brown/Black,Sep,2015,
269,A687011,Gigi,09/04/2014 5:58:00 PM,12/30/2013,Adoption,,Dog,8 months,Boston Terrier Mix,Black/White,Sep,2014,Spayed Female
270,A826220,,11/22/2020 3:20:00 PM,10/29/2020,Transfer,Partner,Cat,3 weeks,Domestic Shorthair,Brown Tabby,Nov,2020,Intact Female
271,A742748,Elsie,06/23/2018 8:45:00 PM,01/27/2007,Adoption,Foster,Cat,11 years,Domestic Shorthair Mix,White/Black,Jun,2018,Spayed Female
272,A671765,Negra,07/06/2014 3:58:00 PM,01/30/2013,Return to Owner,,Dog,1 year,Dachshund Wirehair Mix,Black/White,Jul,2014,Spayed Female
273,A774643,Molly,06/22/2018 12:27:00 PM,02/03/2018,Transfer,Partner,Dog,4 months,Miniature Schnauzer Mix,Brown,Jun,2018,Intact Female
274,A718679,Sam,01/24/2016 6:03:00 PM,01/04/2015,Adoption,,Dog,1 year,American Foxhound Mix,White/Black,Jan,2016,Neutered Male
275,A746806,*Palmer,04/13/2017 5:12:00 PM,04/09/2016,Adoption,,Dog,1 year,Anatol Shepherd,Tan,Apr,2017,Neutered Male
276,A880165,,05/08/2023 8:36:00 AM,05/05/2021,Transfer,Snr,Cat,2 years,Domestic Shorthair,Orange Tabby,May,2023,Intact Male
277,A793783,Spinner,07/13/2019 2:54:00 PM,04/20/2019,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Orange Tabby,Jul,2019,Spayed Female
278,A810108,,12/09/2019 5:29:00 PM,09/23/2019,Adoption,,Dog,2 months,Labrador Retriever,Tricolor,Dec,2019,Spayed Female
279,A851782,Cilantro,03/12/2022 4:10:00 PM,05/18/2021,Adoption,,Dog,9 months,Great Pyrenees/Australian Cattle Dog,Black/White,Mar,2022,Neutered Male
280,A692379,Maunster,12/20/2014 5:23:00 PM,10/19/2014,Adoption,Foster,Dog,2 months,German Shepherd/Labrador Retriever,Tan,Dec,2014,Neutered Male
281,A799586,,07/14/2019 5:27:00 PM,07/10/2017,Transfer,Snr,Cat,2 years,Domestic Shorthair,Cream Tabby/White,Jul,2019,
282,A779909,,09/11/2018 6:06:00 PM,09/06/2016,Transfer,Snr,Cat,2 years,Domestic Shorthair Mix,Tortie,Sep,2018,Intact Female
283,A706720,Nikko,07/24/2015 5:19:00 PM,07/02/2011,Adoption,,Dog,4 years,Miniature Schnauzer Mix,Tan/Gray,Jul,2015,Neutered Male
284,A823496,*Rigatoni,11/03/2020 9:15:00 AM,08/17/2020,Adoption,Foster,Cat,2 months,Domestic Medium Hair,Black/White,Nov,2020,Neutered Male
285,A678591,Parker,05/14/2014 7:06:00 PM,03/02/2014,Adoption,,Dog,2 months,Cardigan Welsh Corgi Mix,Tricolor,May,2014,Spayed Female
286,A735888,Coco,10/01/2016 5:26:00 PM,10/01/2014,Return to Owner,,Dog,2 years,Chihuahua Shorthair Mix,Black/Brown,Oct,2016,Intact Female
287,A669875,Daisy,12/30/2013 2:06:00 PM,12/29/2008,Return to Owner,,Dog,5 years,Lhasa Apso Mix,Black,Dec,2013,Spayed Female
288,A864870,*Monaka,10/05/2022 3:17:00 PM,05/01/2022,Adoption,,Cat,5 months,Domestic Shorthair,White/Black,Oct,2022,Spayed Female
289,A820871,,07/31/2020 11:36:00 AM,05/31/2020,Transfer,Partner,Cat,1 month,Domestic Shorthair,Brown Tabby,Jul,2020,Intact Female
290,A803732,*Ginny,09/14/2019 12:03:00 PM,05/11/2019,Adoption,,Dog,4 months,Boxer,Brown/White,Sep,2019,Spayed Female
291,A698165,,03/07/2015 9:45:00 AM,02/06/2015,Died,,Other,4 weeks,Bat,Brown/Black,Mar,2015,
292,A635766,Shadow,01/07/2014 11:19:00 AM,06/27/2012,Return to Owner,,Dog,1 year,Pit Bull/Boxer,Chocolate/White,Jan,2014,Neutered Male
293,A772493,Molly,05/21/2018 7:18:00 PM,05/20/2016,Return to Owner,,Dog,2 years,German Shepherd Mix,Tan/Black,May,2018,Spayed Female
294,A736505,Tommy,11/20/2016 5:44:00 PM,09/19/2016,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,Nov,2016,Neutered Male
295,A819006,Little Girl,08/11/2020 5:05:00 PM,03/19/2018,Adoption,,Cat,2 years,Domestic Longhair,White,Aug,2020,Spayed Female
296,A754796,*Guppy,09/30/2017 9:51:00 AM,06/30/2017,Adoption,Foster,Cat,3 months,Domestic Shorthair Mix,Brown Tabby/White,Sep,2017,Spayed Female
297,A717893,Rasgo,12/18/2015 6:13:00 PM,08/18/2015,Adoption,,Dog,4 months,Havanese Mix,Apricot,Dec,2015,Neutered Male
298,A810461,Chance,12/23/2019 6:25:00 PM,12/14/2017,Adoption,,Dog,2 years,Pit Bull,Black,Dec,2019,Neutered Male
299,A714226,Lars,10/26/2015 12:00:00 AM,10/24/2008,Transfer,Partner,Dog,7 years,Yorkshire Terrier Mix,Black/Brown,Oct,2015,Intact Male
300,A794662,Sam,01/27/2022 12:41:00 PM,05/10/2016,Adoption,Foster,Cat,5 years,Domestic Shorthair,Brown Tabby/White,Jan,2022,Neutered Male
301,A787336,*Genevieve,03/25/2019 6:19:00 PM,01/11/2017,Adoption,Foster,Dog,2 years,Pit Bull Mix,Blue/White,Mar,2019,Spayed Female
302,A688756,,09/27/2014 5:08:00 PM,07/08/2014,Adoption,,Cat,2 months,Domestic Shorthair Mix,White/Blue Tabby,Sep,2014,Neutered Male
303,A868329,Bon Bon,11/19/2022 5:08:00 PM,09/01/2022,Adoption,,Dog,2 months,Border Collie Mix,Black/White,Nov,2022,Spayed Female
304,A816306,*Jelly Bean,06/17/2020 1:23:00 PM,04/12/2020,Adoption,Foster,Cat,2 months,Domestic Shorthair,Black,Jun,2020,Neutered Male
305,A787658,*Fergus,03/11/2019 12:00:00 AM,01/17/2017,Transfer,Partner,Cat,2 years,Domestic Shorthair Mix,Black,Mar,2019,Neutered Male
306,A674631,*Claude,04/19/2014 5:33:00 PM,03/16/2011,Adoption,,Dog,3 years,American Bulldog Mix,White/Tan,Apr,2014,Neutered Male
307,A800445,Mini,07/22/2019 6:47:00 PM,06/05/2013,Return to Owner,,Dog,6 years,Chihuahua Shorthair Mix,Tan/White,Jul,2019,Spayed Female
308,A875438,Leola,03/07/2023 6:54:00 PM,07/27/2022,Adoption,,Dog,7 months,German Shepherd,Brown/Black,Mar,2023,Spayed Female
309,A684828,,07/30/2014 9:00:00 AM,03/14/2014,Transfer,SCRP,Cat,4 months,Domestic Shorthair Mix,Cream Tabby/White,Jul,2014,Intact Male
310,A749133,*Cowboy,08/01/2020 8:12:00 AM,04/05/2017,Adoption,Foster,Cat,3 years,Domestic Shorthair Mix,White/Black,Aug,2020,Spayed Female
311,A686043,,08/16/2014 8:41:00 AM,08/15/2013,Disposal,,Other,1 year,Bat Mix,Brown,Aug,2014,
312,A692765,,12/02/2014 5:31:00 PM,09/25/2014,Euthanasia,Suffering,Cat,2 months,Domestic Shorthair Mix,Brown Tabby/White,Dec,2014,Intact Male
313,A774672,,07/15/2018 4:43:00 PM,04/25/2018,Adoption,,Cat,2 months,Domestic Shorthair Mix,Black,Jul,2018,Spayed Female
314,A695408,,01/18/2015 8:42:00 AM,11/08/2014,Adoption,Offsite,Dog,2 months,Rottweiler/German Shepherd,Sable,Jan,2015,Spayed Female
315,A667667,,11/26/2013 1:43:00 PM,08/06/2013,Transfer,Partner,Dog,3 months,Dachshund Mix,Tan,Nov,2013,Intact Male
316,A681907,Tortilla,06/28/2014 6:52:00 PM,04/21/2014,Adoption,,Cat,2 months,Siamese Mix,Tortie Point,Jun,2014,Intact Female
317,A678341,Bear,05/26/2014 3:53:00 PM,05/07/2012,Return to Owner,,Dog,2 years,Golden Retriever/Chow Chow,Tan,May,2014,Neutered Male
318,A795431,*Maggie,05/29/2019 2:25:00 PM,05/20/2011,Transfer,Partner,Dog,8 years,Wire Hair Fox Terrier Mix,Tricolor,May,2019,Intact Female
319,A795465,,06/01/2019 10:03:00 PM,03/20/2019,Adoption,,Cat,2 months,Domestic Shorthair,Black,Jun,2019,Neutered Male
320,A696806,*Davis,02/17/2015 7:02:00 PM,06/12/2014,Adoption,,Dog,8 months,Dachshund Mix,Brown/White,Feb,2015,Neutered Male
321,A848813,*Lucas,02/01/2022 4:19:00 PM,12/28/2019,Adoption,,Dog,2 years,Pit Bull Mix,White/Black,Feb,2022,Neutered Male
322,A808052,*Oreo,12/03/2019 4:46:00 PM,08/19/2019,Adoption,,Cat,3 months,Domestic Shorthair,Black/White,Dec,2019,Spayed Female
323,A839074,,07/23/2021 9:29:00 AM,03/19/2021,Died,In Kennel,Cat,4 months,Domestic Shorthair,Black/White,Jul,2021,Intact Male
324,A795140,Roo,05/23/2019 5:39:00 PM,05/16/2017,Adoption,,Dog,2 years,Australian Cattle Dog Mix,Blue Tick,May,2019,Neutered Male
325,A836159,*Morgan,06/30/2021 2:41:00 PM,12/07/2019,Adoption,Foster,Dog,1 year,Australian Cattle Dog,Blue Tick,Jun,2021,Spayed Female
326,A823494,*Macaroni,11/03/2020 9:13:00 AM,08/17/2020,Adoption,Foster,Cat,2 months,Domestic Shorthair,Brown Tabby/White,Nov,2020,Spayed Female
327,A750772,,05/31/2017 6:19:00 PM,04/16/2017,Transfer,Partner,Dog,1 month,Labrador Retriever Mix,Black,May,2017,Intact Female
328,A765588,*Clarke,01/24/2018 10:12:00 AM,12/15/2017,Transfer,Partner,Dog,1 month,Chihuahua Shorthair Mix,Brown,Jan,2018,Intact Female
329,A760496,*Marco Polo,12/30/2017 3:44:00 PM,08/19/2017,Adoption,,Cat,4 months,Domestic Shorthair Mix,Brown Tabby/White,Dec,2017,Neutered Male
330,A787340,,01/11/2019 2:53:00 PM,01/11/2018,Euthanasia,Rabies Risk,Other,1 year,Bat Mix,Brown,Jan,2019,
331,A868958,*Draper,01/07/2023 10:08:00 AM,06/10/2022,Adoption,Foster,Dog,6 months,Australian Cattle Dog Mix,Brown/White,Jan,2023,Neutered Male
332,A736523,*Clementina,11/03/2016 12:35:00 PM,10/12/2015,Adoption,,Cat,1 year,Domestic Shorthair Mix,Black,Nov,2016,Spayed Female
333,A706159,Junebug,07/31/2015 2:01:00 PM,06/25/2014,Adoption,Foster,Dog,1 year,Border Collie/Whippet,Black/White,Jul,2015,Intact Female
334,A810115,,12/09/2019 6:02:00 PM,09/24/2019,Adoption,,Dog,2 months,Labrador Retriever,Tricolor,Dec,2019,Neutered Male
335,A811845,L.S,01/22/2020 1:53:00 PM,01/10/2005,Rto-Adopt,,Cat,15 years,Domestic Shorthair Mix,Black,Jan,2020,Spayed Female
336,A830628,Buck,03/14/2021 4:15:00 PM,03/12/2018,Return to Owner,,Dog,3 years,German Shepherd,Tan/Black,Mar,2021,Intact Male
337,A737112,,10/23/2016 9:00:00 AM,10/22/2015,Transfer,SCRP,Cat,1 year,Domestic Shorthair Mix,Brown Tabby,Oct,2016,Spayed Female
338,A757498,*Sergeant,09/11/2017 2:16:00 PM,09/03/2011,Adoption,,Dog,6 years,German Shepherd Mix,Black/Brown,Sep,2017,Neutered Male
339,A849152,Bruno,03/11/2022 1:57:00 PM,01/03/2020,Transfer,Partner,Dog,2 years,Pit Bull Mix,Brown Brindle/White,Mar,2022,Neutered Male
340,A834933,*Salsa,05/30/2021 1:01:00 PM,03/20/2021,Euthanasia,Suffering,Cat,2 months,Domestic Shorthair Mix,Brown Tabby,May,2021,Intact Female
341,A749348,*Toby,07/12/2017 9:48:00 AM,05/04/2017,Adoption,Foster,Cat,2 months,Domestic Shorthair Mix,Brown Tabby/White,Jul,2017,Neutered Male
342,A796292,Duchess,06/10/2019 6:59:00 PM,05/31/2014,Return to Owner,,Dog,5 years,Chihuahua Shorthair,Brown,Jun,2019,Spayed Female
343,A725980,,06/25/2016 5:31:00 PM,05/01/2016,Adoption,Foster,Dog,1 month,Chihuahua Shorthair Mix,Brown,Jun,2016,Spayed Female
344,A690543,*Scarlet,01/05/2017 7:25:00 PM,10/22/2013,Return to Owner,,Dog,3 years,Pit Bull Mix,Chocolate/White,Jan,2017,Spayed Female
